label,text
spam,FYI - Exclusive deal just for you: refinance your mortgage and save thousands! Regards.
ham,"Dear customer, I updated the spreadsheet with the latest numbers. Don't miss out."
ham,"Dear customer, Mom says dinner is at 7, don't be late. Limited time."
ham,"Hello, The meeting has been moved to 3pm, see you then."
spam,"Hi, Get rich quick! Earn $5000 a week working from home, no experience needed. Sign up now! Limited time."
ham,Please review the attached document and let me know your thoughts. Reply now.
spam,"Dear customer, Limited time offer: 90% off all products! Buy now before the deal ends! Thanks."
spam,"Cheap meds online, no prescription needed! Order now and save 80%!"
spam,Final notice: Your car warranty is about to expire. Call now to renew.
spam,"Dear customer, Act now! Your subscription will be cancelled unless you update payment info immediately. Reply now."
ham,FYI - The wifi password is on the fridge note. Reply now.
spam,"This is not a scam, you really won! Claim your reward before midnight. Limited time."
ham,FYI - Can you pick up the kids from school today? Regards.
spam,"FREE entry into our $10,000 cash prize draw. Text WIN to 80088 now! Limited time."
spam,"Hello, URGENT: verify your Amazon account now or it will be permanently suspended. Reply now."
ham,Are you coming to the team dinner tonight? Don't miss out.
ham,"Note: Just checking in, how are you feeling today?"
ham,"Hello, Sorry I missed your call, what's up? Reply now."
spam,"Hi, Your package delivery failed. Click here to reschedule and pay a small fee."
spam,"Hello, You have been chosen for a special cash reward, click the link to claim it now. Reply now."
ham,Note: The package should arrive by Wednesday. Reply now.
spam,"Hi, Act now! Your subscription will be cancelled unless you update payment info immediately."
ham,Are you coming to the team dinner tonight?
ham,"Dear customer, Can you pick up the kids from school today?"
ham,FYI - The package should arrive by Wednesday. Reply now.
spam,URGENT: Your account has been suspended. Verify your details immediately to avoid closure.
spam,"Dear customer, This is not a scam, you really won! Claim your reward before midnight. Regards."
spam,"FYI - You've been pre-approved for a credit card with a $10,000 limit. Apply today! Thanks."
spam,"Dear customer, WINNER!! You have been selected to receive a $1000 Walmart gift card. Click here to claim now! Limited time."
ham,"Hello, Congrats on the new job, well deserved! Thanks."
spam,FYI - You have 1 new voicemail from your bank regarding suspicious activity. Call now. Regards.
spam,Your PayPal account has been locked. Click here to unlock it immediately.
ham,"Hi, Let me know when you're free to talk. Limited time."
ham,"The project deadline is next Friday, let's plan accordingly."
spam,FYI - WINNER!! You have been selected to receive a $1000 Walmart gift card. Click here to claim now! Limited time.
spam,"FYI - You've been pre-approved for a credit card with a $10,000 limit. Apply today! Reply now."
spam,"FYI - Get rich quick! Earn $5000 a week working from home, no experience needed. Sign up now! Limited time."
spam,"You've been pre-approved for a credit card with a $10,000 limit. Apply today! Limited time."
spam,"Dear customer, URGENT: Your account has been suspended. Verify your details immediately to avoid closure."
spam,"Note: You have been chosen for a special cash reward, click the link to claim it now. Thanks."
spam,Note: WINNER!! You have been selected to receive a $1000 Walmart gift card. Click here to claim now! Reply now.
ham,"Dear customer, I left my charger at your place, can I grab it tomorrow? Don't miss out."
spam,"Double your bitcoin investment in 24 hours, guaranteed! Click to start."
spam,"Hi, Get rich quick! Earn $5000 a week working from home, no experience needed. Sign up now! Don't miss out."
ham,"Let's catch up this weekend, it's been a while."
spam,"Congratulations, you are our lucky visitor today! Claim your free prize now!"
spam,Note: Limited time offer: 90% off all products! Buy now before the deal ends! Don't miss out.
ham,The doctor's appointment is confirmed for Monday 10am.
spam,"Free trial! No credit card required, click now to start earning today!"
spam,"Hi, Your package delivery failed. Click here to reschedule and pay a small fee. Limited time."
ham,"Hey, are we still meeting for lunch tomorrow?"
spam,"Hello, Your number has been selected for a free cruise vacation, call now! Reply now."
ham,"Hi, The meeting has been moved to 3pm, see you then. Regards."
ham,I updated the spreadsheet with the latest numbers.
ham,"Hello, Let me know when you're free to talk. Limited time."
spam,"Dear customer, Claim your free vacation to the Bahamas now, only pay for taxes and fees! Don't miss out."
spam,"Note: Act fast, only 3 spots left for our free webinar on making $10k/month! Regards."
spam,Increase your credit score instantly! Click here for a free consultation. Regards.
spam,"Congratulations, you are our lucky visitor today! Claim your free prize now! Limited time."
spam,Congratulations! You've won a free iPhone 15. Claim your prize before it expires!
spam,FYI - Your loan of $50000 has been approved! Click the link to receive funds instantly.
spam,"Hello, Congratulations, you are our lucky visitor today! Claim your free prize now!"
ham,"Great job on the presentation, the client loved it."
ham,Note: Don't forget to pick up milk on your way home. Thanks.
ham,Can we reschedule our call to Thursday?
ham,Can you review my code before I push it? Regards.
ham,Note: I updated the spreadsheet with the latest numbers. Thanks.
ham,"Note: Great job on the presentation, the client loved it. Don't miss out."
ham,FYI - Happy birthday! Hope you have a great day. Reply now.
